Board.isEmpty(),,Board board,int[ ] pos,,,bool,,,,,,,
,TC1.114,board = initBoard(),"-1,4",,,FALSE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.115,board = initBoard(),"0,4",,,FALSE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.116,board = initBoard(),"1,4",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.117,board = initBoard(),"4,4",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.118,board = initBoard(),"8,4",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.119,board = initBoard(),"9,4",,,FALSE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.120,board = initBoard(),"10,4",,,FALSE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.121,board = initBoard(),"4,-1",,,FALSE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.122,board = initBoard(),"4,0",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.123,board = initBoard(),"4,1",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.124,board = initBoard(),"4,7",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.125,board = initBoard(),"4,8",,,TRUE,,,健壮边界值+等价类,测试位置是否为空,,,
,TC1.126,board = initBoard(),"4,9",,,FALSE,,,健壮边界值+等价类,测试位置是否为空,,,